year,month,day,discharge
1995,4,4,4092.429
1995,4,5,3975.906
1995,4,6,3742.86
1995,4,7,3633.399
1995,4,8,3463.911
1995,4,9,3608.682
1995,4,10,3325.4958
1995,4,11,3123.8757
1995,4,12,2996.4066
1995,4,13,2859.0507
1995,4,14,2700.1557
1995,4,15,2577.2769
1995,4,16,2523.6057
1995,4,17,2416.9695
1995,4,18,2455.4574
1995,4,19,2629.5357
1995,4,20,2730.8754
1995,4,21,3172.2504
1995,4,22,3172.2504
1995,4,23,3482.2722
1995,4,24,3594.558
1995,4,25,3651.054
1995,4,26,3626.337
1995,4,27,6864.264
1995,4,28,8502.648
1995,4,29,8880.465
1995,4,30,8597.985
1995,5,1,8304.912
1995,5,2,7443.348
1995,5,3,7069.062
1995,5,4,6507.633
1995,5,5,6023.886
1995,5,6,5345.934
1995,5,7,5144.667
1995,5,8,4622.079
1995,5,9,4466.715
1995,5,10,4254.855
1995,5,11,4148.925
1995,5,12,4067.712
1995,5,13,3961.782
1995,5,14,3944.127
1995,5,15,3735.798
1995,5,16,3493.9245
1995,5,17,3437.4285
1995,5,18,3369.6333
1995,5,19,3432.4851
1995,5,20,3223.4499
1995,5,21,3035.9538
1995,5,22,2853.048
1995,5,23,2769.0102
1995,5,24,2733.7002
1995,5,25,2615.7648
1995,5,26,2641.8942
1995,5,27,2498.5356
1995,5,28,2410.2606
1995,5,29,2352.7053
1995,5,30,2268.6675
1995,5,31,2223.1176
1995,6,1,2128.8399
1995,6,2,2082.5838
1995,6,3,2035.2684
1995,6,4,2028.5595
1995,6,5,2033.856
1995,6,6,2066.6943
1995,6,7,2076.5811
1995,6,8,2085.4086
1995,6,9,2039.8587
1995,6,10,2073.7563
1995,6,11,2023.9692
1995,6,12,1929.6915
1995,6,13,1859.7777
1995,6,14,1730.5431
1995,6,15,1775.3868
1995,6,16,1659.9231
1995,6,17,1636.6185
1995,6,18,1528.2168
1995,6,19,1462.1871
1995,6,20,1430.7612
1995,6,21,1366.8501
1995,6,22,1316.0037
1995,6,23,1259.5077
1995,6,24,1174.7637
